연번,Station 스테이션/성명,위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명,거치대
215,지족초등학교,대전광역시 유성구 지족동 853,36.3791031,127.3167162,30,대전광역시,30200,유성구,3020012000,지족동,3020054700,노은2동,15
216,건양대학교병원,대전광역시 서구 관저동 1900,36.2944985,127.3329295,30,대전광역시,30170,서구,3017011600,관저동,3017059600,관저1동,15
217,초록마을아파트3단지,대전광역시 서구 복수동 613,36.3004912,127.3789728,30,대전광역시,30170,서구,3017010100,복수동,3017051000,복수동,15
218,충대병원입구(건너편),대전광역시 중구 대사동 248-29,36.315718,127.4182556,30,대전광역시,30140,중구,3014011000,대사동,3014063000,대사동,15
219,문화초등학교네거리,대전광역시 중구 유천동 168-8,36.3130499,127.3995815,30,대전광역시,30140,중구,3014011500,유천동,3014071000,유천2동,10
220,머티네거리,대전광역시 중구 산성동 160-9,36.3091166,127.388159,30,대전광역시,30140,중구,3014011700,산성동,3014074000,산성동,15
221,갈마중학교(서부장로교회),대전광역시 서구 갈마동 338-1,36.3492864,127.3686344,30,대전광역시,30170,서구,3017011100,갈마동,3017058100,갈마1동,15
222,갈마아파트 한마음동산,대전광역시 서구 갈마동 392-6,36.3441055,127.3680178,30,대전광역시,30170,서구,3017011100,갈마동,3017058100,갈마1동,15
223,가양비래공원네거리,대전광역시 대덕구 비래동 47-1,36.3537568,127.4553219,30,대전광역시,30230,대덕구,3023011000,비래동,3023053300,비래동,13
224,정림삼거리,대전광역시 서구 정림동 497,36.3070285,127.3638264,30,대전광역시,30170,서구,3017010400,정림동,3017053500,정림동,15
225,대전보건대,대전광역시 동구 가양동 88-1,36.3490493,127.4518898,30,대전광역시,30110,동구,3011011400,가양동,3011063000,가양2동,14
226,대정동 모다아울렛,대전광역시 유성구 대정동 303-2,36.312636,127.3191407,30,대전광역시,30200,유성구,3020010300,대정동,3020052000,진잠동,15
227,죽동 대원칸타빌,대전광역시 유성구 죽동 141-3,36.3692377,127.334208,30,대전광역시,30200,유성구,3020012100,죽동,3020054000,온천2동,13
228,노은3지구 트리풀시티포레(105동),대전광역시 유성구 지족동 1043,36.3831766,127.3011674,30,대전광역시,30200,유성구,3020012000,지족동,3020054800,노은3동,13
229,송림마을5단지(502동),대전광역시 유성구 하기동 545,36.3899905,127.3301777,30,대전광역시,30200,유성구,3020013200,하기동,3020054700,노은2동,14
230,노은3지구 꿈에그린(201동),대전광역시 유성구 지족동 1093,36.3831766,127.3011674,30,대전광역시,30200,유성구,3020012000,지족동,3020054800,노은3동,14
231,덕명동 하우스토리(101동),대전광역시 유성구 덕명동 525,36.3515223,127.2927529,30,대전광역시,30200,유성구,3020011300,덕명동,3020053000,온천1동,14
232,온천2동주민센터,대전광역시 유성구 장대동 40-2,36.365312,127.3335785,30,대전광역시,30200,유성구,3020011700,장대동,3020054000,온천2동,12
233,대덕산업단지 BRT정류장,대전광역시 대덕구 문평동 92-1,36.4424162,127.4011129,30,대전광역시,30230,대덕구,3023011300,문평동,3023058000,목상동,14
234,와동 현대아파트(대덕의원),대전광역시 대덕구 와동 372-7,36.400801,127.4231071,30,대전광역시,30230,대덕구,3023010600,와동,3023052500,회덕동,14
235,비래동 금성백조(102동),대전광역시 대덕구 비래동 130-7,36.3579937,127.4506115,30,대전광역시,30230,대덕구,3023011000,비래동,3023053300,비래동,14
236,가양2동주민센터(건너편 한산아파트),대전광역시 동구 가양동 55-3,36.3488426,127.4483039,30,대전광역시,30110,동구,3011011400,가양동,3011063000,가양2동,12
237,변동네거리(복음천하교회),대전광역시 서구 변동 60-2,36.3244404,127.3781692,30,대전광역시,30170,서구,3017010200,변동,3017054000,변동,13
238,내동네거리(컨벤션웨딩홀),대전광역시 서구 변동 70-9,36.3306265,127.3767745,30,대전광역시,30170,서구,3017010200,변동,3017054000,변동,14
239,느리울중네거리,대전광역시 서구 관저동 1394,36.2963016,127.3426207,30,대전광역시,30170,서구,3017011600,관저동,3017059700,관저2동,14
240,서부경찰서,대전광역시 서구 복수동 292-14,36.3086979,127.3730963,30,대전광역시,30170,서구,3017010100,복수동,3017051000,복수동,14
241,사정동 웰빙24시 사우나,대전광역시 중구 사정동 401,36.2965284,127.3849128,30,대전광역시,30140,중구,3014011800,사정동,3014074000,산성동,14
242,서대전역,대전광역시 중구 오류동 170-1,36.3221312,127.404684,30,대전광역시,30140,중구,3014011300,오류동,3014067000,오류동,12
243,솔브릿지 국제대학,대전광역시 동구 삼성동 151-13,36.3384503,127.4323329,30,대전광역시,30110,동구,3011011800,삼성동,3011069500,삼성동,14
244,우송대 서문(건너편),대전광역시 동구 가양동 307-3,36.3401727,127.4459934,30,대전광역시,30110,동구,3011011400,가양동,3011062000,가양1동,13
245,천동초등학교,대전광역시 동구 천동 199-64,36.3166764,127.4439012,30,대전광역시,30110,동구,3011010400,천동,3011053000,효동,13
246,용방마을아파트(301동),대전광역시 동구 용운동 460,36.3264678,127.4525236,30,대전광역시,30110,동구,3011010900,용운동,3011056000,용운동,14
247,목동 한사랑아파트(109동),대전광역시 중구 목동 112-12,36.3343584,127.4124613,30,대전광역시,30140,중구,3014010300,목동,3014055000,목동,12
248,옥계동 새마을금고,대전광역시 중구 옥계동 46-15,36.298842,127.4541608,30,대전광역시,30140,중구,3014010900,옥계동,3014062000,석교동,12
249,관저 금성백조(114동),대전광역시 서구 관저동 1574,36.3038611,127.3373863,30,대전광역시,30170,서구,3017011600,관저동,3017059700,관저2동,13
250,노은3지구 영무예다음(102동),대전광역시 유성구 지족동 1052,36.3764006,127.3036087,30,대전광역시,30200,유성구,3020012000,지족동,3020054800,노은3동,13
251,관저 더샵(109동),대전광역시 서구 관저동 1985,36.2944985,127.3329295,30,대전광역시,30170,서구,3017011600,관저동,3017059700,관저2동,13
252,대전정부청사 남문,대전광역시 서구 둔산동 1517,36.3589332,127.386781,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,15
253,가수원파출소(건너편),대전광역시 서구 가수원동 1373,36.3156147,127.3477683,30,대전광역시,30170,서구,3017011400,가수원동,3017059000,가수원동,15
254,대전과학기술대학교 정문,대전광역시 서구 복수동 257-5,36.3045135,127.3748311,30,대전광역시,30170,서구,3017010100,복수동,3017051000,복수동,15
255,용운국제수영장,대전광역시 동구 용운동 301-12,36.3252802,127.4655407,30,대전광역시,30110,동구,3011010900,용운동,3011056000,용운동,15
256,신성동 수천이들 근린공원,대전광역시 유성구 신성동 494,36.3892126,127.3473271,30,대전광역시,30200,유성구,3020012500,신성동,3020055000,신성동,15
257,대전테크노파크,대전광역시 유성구 용산동 605,36.4232554,127.4056817,30,대전광역시,30200,유성구,3020014400,용산동,3020060000,관평동,15
258,천문대입구,대전광역시 유성구 신성동 458,36.3819167,127.3553124,30,대전광역시,30200,유성구,3020012500,신성동,3020055000,신성동,12
259,대덕대학교,대전광역시 유성구 장동 48,36.390533,127.3656637,30,대전광역시,30200,유성구,3020012800,장동,3020055000,신성동,14
260,오정농수산물 도매시장,대전광역시 대덕구 오정동 45-1,36.3577832,127.4075046,30,대전광역시,30230,대덕구,3023010100,오정동,3023051000,오정동,15
261,도로교통공단(건너편 라도무스),대전광역시 유성구 원신흥동 608,36.3377538,127.3469808,30,대전광역시,30200,유성구,3020011400,원신흥동,3020061000,원신흥동,15
262,반석 더샵,대전광역시 유성구 반석동 704,36.394372,127.2967863,30,대전광역시,30200,유성구,3020013900,반석동,3020054800,노은3동,15
