대여스테이션,반납스테이션,count,위도_대여,경도_대여,위도_반납,경도_반납
33,107,75,36.3581627,127.361835,36.36935,127.3644226
33,186,84,36.3581627,127.361835,36.3674851,127.3880222
34,23,56,36.3576407,127.3658705,36.3655538,127.3642106
34,107,94,36.3576407,127.3658705,36.36935,127.3644226
35,5,57,36.3575865,127.375422,36.3645051,127.3889771
35,18,53,36.3575865,127.375422,36.3503816,127.3847379
35,19,74,36.3575865,127.375422,36.3515604,127.3887852
35,45,102,36.3575865,127.375422,36.3562828,127.387877
36,122,50,36.3504567,127.3848187,36.3584991,127.4235988
37,18,58,36.3576061,127.3951793,36.3503816,127.3847379
43,3,75,36.3540661,127.374375,36.3674851,127.3880222
43,29,76,36.3540661,127.374375,36.366808,127.3719841
43,32,55,36.3540661,127.374375,36.3584437,127.3542548
43,33,130,36.3540661,127.374375,36.3581627,127.361835
43,68,108,36.3540661,127.374375,36.3419007,127.3446963
43,186,55,36.3540661,127.374375,36.3674851,127.3880222
43,197,102,36.3540661,127.374375,36.3202851,127.3775462
45,17,147,36.3562828,127.387877,36.352308,127.3785493
45,35,99,36.3562828,127.387877,36.3575865,127.375422
45,47,63,36.3562828,127.387877,36.3486933,127.3825854
45,48,66,36.3562828,127.387877,36.3463317,127.3849681
46,2,55,36.3470359,127.377212,36.3749012,127.3916831
46,3,86,36.3470359,127.377212,36.3674851,127.3880222
46,5,61,36.3470359,127.377212,36.3645051,127.3889771
46,110,330,36.3470359,127.377212,36.3377237,127.3921483
46,111,57,36.3470359,127.377212,36.335634,127.3968452
46,252,67,36.3470359,127.377212,36.3589332,127.386781
47,8,131,36.3486933,127.3825854,36.3612664,127.3902838
47,11,69,36.3486933,127.3825854,36.3588693,127.3713615
47,18,51,36.3486933,127.3825854,36.3503816,127.3847379
47,30,103,36.3486933,127.3825854,36.3635561,127.3740015
48,8,76,36.3463317,127.3849681,36.3612664,127.3902838
49,3,50,36.3474022,127.3898661,36.3674851,127.3880222
49,8,63,36.3474022,127.3898661,36.3612664,127.3902838
50,14,71,36.3476475,127.3952117,36.3555198,127.3790396
50,17,99,36.3476475,127.3952117,36.352308,127.3785493
50,19,70,36.3476475,127.3952117,36.3515604,127.3887852
50,44,73,36.3476475,127.3952117,36.3544524,127.3829689
50,252,69,36.3476475,127.3952117,36.3589332,127.386781
51,110,68,36.3488715,127.3986315,36.3377237,127.3921483
51,186,51,36.3488715,127.3986315,36.3674851,127.3880222
54,31,136,36.3647782,127.3387212,36.3617639,127.3574454
54,32,84,36.3647782,127.3387212,36.3584437,127.3542548
54,59,94,36.3647782,127.3387212,36.3542559,127.3412636
54,178,78,36.3647782,127.3387212,36.3744426,127.3184309
55,3,52,36.3625121,127.3440365,36.3674851,127.3880222
55,23,50,36.3625121,127.3440365,36.3655538,127.3642106
55,33,62,36.3625121,127.3440365,36.3581627,127.361835
55,56,103,36.3625121,127.3440365,36.3617967,127.3450565
55,161,51,36.3625121,127.3440365,36.3847977,127.3491015
55,178,198,36.3625121,127.3440365,36.3744426,127.3184309
55,186,94,36.3625121,127.3440365,36.3674851,127.3880222
55,199,94,36.3625121,127.3440365,36.3682342,127.3184583
55,200,124,36.3625121,127.3440365,36.3830082,127.3191051
56,1,50,36.3617967,127.3450565,36.3747083,127.3890266
56,3,126,36.3617967,127.3450565,36.3674851,127.3880222
56,22,109,36.3617967,127.3450565,36.36935,127.3644226
56,23,55,36.3617967,127.3450565,36.3655538,127.3642106
56,29,57,36.3617967,127.3450565,36.366808,127.3719841
56,31,85,36.3617967,127.3450565,36.3617639,127.3574454
56,32,96,36.3617967,127.3450565,36.3584437,127.3542548
56,33,301,36.3617967,127.3450565,36.3581627,127.361835
56,35,71,36.3617967,127.3450565,36.3575865,127.375422
56,55,51,36.3617967,127.3450565,36.3625121,127.3440365
56,66,100,36.3617967,127.3450565,36.3455493,127.3401828
56,68,69,36.3617967,127.3450565,36.3419007,127.3446963
56,105,59,36.3617967,127.3450565,36.36935,127.3644226
56,108,57,36.3617967,127.3450565,36.3306288,127.3376588
56,186,208,36.3617967,127.3450565,36.3674851,127.3880222
56,231,81,36.3617967,127.3450565,36.3515223,127.2927529
57,22,58,36.3565711,127.3419092,36.36935,127.3644226
57,31,94,36.3565711,127.3419092,36.3617639,127.3574454
57,32,53,36.3565711,127.3419092,36.3584437,127.3542548
57,56,53,36.3565711,127.3419092,36.3617967,127.3450565
57,105,50,36.3565711,127.3419092,36.36935,127.3644226
57,108,63,36.3565711,127.3419092,36.3306288,127.3376588
57,186,50,36.3565711,127.3419092,36.3674851,127.3880222
57,203,67,36.3565711,127.3419092,36.3688891,127.3368187
58,203,91,36.3563987,127.3311397,36.3688891,127.3368187
59,31,85,36.3542559,127.3412636,36.3617639,127.3574454
59,32,79,36.3542559,127.3412636,36.3584437,127.3542548
