대여수,대여시간_합,이동거리_합,이동거리_평균,이동거리_최솟값,이동거리_중앙값,이동거리_최댓값
2154.0,5509251.0,4508840.0,2093.2404828226554,10.0,1820.0,5620.0
1182.0,2915347.0,2509500.0,2123.096446700508,10.0,1825.0,5630.0
2016.0,4366232.0,4247310.0,2106.8005952380954,10.0,1770.0,5620.0
2337.0,5035612.0,4802290.0,2054.895164741121,10.0,1730.0,5630.0
3224.0,8787085.0,7270600.0,2255.14888337469,10.0,2045.0,5630.0
2516.0,5455161.0,5092860.0,2024.1891891891892,10.0,1710.0,5630.0
1658.0,3413113.0,3272110.0,1973.5283474065138,10.0,1630.0,5630.0
3120.0,8511132.0,6941060.0,2224.698717948718,10.0,2000.0,5630.0
421.0,979595.0,880360.0,2091.1163895486934,10.0,1630.0,5580.0
1345.0,2541415.0,2491220.0,1852.2081784386617,10.0,1400.0,5570.0
1410.0,2540710.0,2624620.0,1861.4326241134752,10.0,1440.0,5630.0
1165.0,2018860.0,2048530.0,1758.3948497854078,10.0,1410.0,5620.0
1535.0,2970202.0,3015760.0,1964.6644951140065,10.0,1610.0,5600.0
1684.0,3445499.0,3205370.0,1903.4263657957245,10.0,1580.0,5630.0
1822.0,4500758.0,3794920.0,2082.832052689352,10.0,1815.0,5620.0
2771.0,7813099.0,6263770.0,2260.4727535185853,10.0,2040.0,5630.0
1840.0,3742713.0,3590070.0,1951.125,10.0,1555.0,5630.0
2087.0,4145484.0,4217510.0,2020.8481073310973,10.0,1670.0,5620.0
2316.0,4996425.0,4747300.0,2049.784110535406,10.0,1735.0,5620.0
3061.0,8653057.0,7018930.0,2293.018621365567,10.0,2070.0,5630.0
2520.0,6124998.0,5334670.0,2116.9325396825398,10.0,1865.0,5630.0
2307.0,5818180.0,5031180.0,2180.8322496749024,10.0,1900.0,5630.0
1887.0,4778213.0,4228860.0,2241.049284578696,10.0,2010.0,5630.0
2384.0,5524122.0,5046090.0,2116.6484899328857,10.0,1870.0,5630.0
1033.0,2419632.0,2068060.0,2001.9941916747339,10.0,1680.0,5630.0
2316.0,4938526.0,4717520.0,2036.9257340241795,10.0,1690.0,5610.0
2285.0,4774227.0,4612650.0,2018.6652078774616,10.0,1720.0,5620.0
1421.0,2471076.0,2565450.0,1805.3835327234342,10.0,1420.0,5600.0
226.0,386180.0,394110.0,1743.8495575221239,10.0,1360.0,5510.0
1831.0,4801555.0,4098340.0,2238.3069361004914,10.0,1980.0,5590.0
2195.0,4515511.0,4526510.0,2062.1913439635537,10.0,1750.0,5630.0
2105.0,3998827.0,4151290.0,1972.1092636579572,10.0,1590.0,5630.0
2270.0,4713827.0,4600650.0,2026.7180616740088,10.0,1685.0,5630.0
2400.0,4892693.0,4946810.0,2061.170833333333,10.0,1770.0,5620.0
131.0,264334.0,263640.0,2012.5190839694656,10.0,1650.0,5420.0
2529.0,6063442.0,5569770.0,2202.3606168446026,10.0,1940.0,5630.0
2817.0,7626175.0,6351390.0,2254.664536741214,10.0,2020.0,5630.0
936.0,1591123.0,1631120.0,1742.6495726495727,10.0,1330.0,5550.0
1079.0,1991176.0,2027600.0,1879.147358665431,10.0,1520.0,5620.0
2536.0,5505708.0,5287610.0,2085.019716088328,10.0,1760.0,5630.0
2298.0,4849191.0,4711710.0,2050.3524804177546,10.0,1700.0,5630.0
1576.0,3154009.0,2977330.0,1889.1687817258883,10.0,1545.0,5630.0
3060.0,7903319.0,6632750.0,2167.5653594771243,10.0,1930.0,5630.0
2342.0,6033623.0,5282860.0,2255.7045260461146,10.0,2000.0,5630.0
2312.0,4635542.0,4799420.0,2075.8737024221455,10.0,1730.0,5610.0
2131.0,3889635.0,4030510.0,1891.370248709526,10.0,1540.0,5580.0
2618.0,5342573.0,5235370.0,1999.75935828877,10.0,1670.0,5630.0
2393.0,4754200.0,4771830.0,1994.0785624738821,10.0,1670.0,5610.0
2504.0,5131831.0,4866710.0,1943.5742811501598,10.0,1590.0,5610.0
2805.0,7104819.0,5992980.0,2136.5347593582887,10.0,1890.0,5630.0
2648.0,6692686.0,5864140.0,2214.5543806646524,10.0,1940.0,5620.0
2491.0,5046604.0,4980550.0,1999.4179044560417,10.0,1650.0,5630.0
2198.0,4137840.0,4192620.0,1907.4704276615105,10.0,1490.0,5630.0
2344.0,4608900.0,4568170.0,1948.877986348123,10.0,1540.0,5620.0
2287.0,4286578.0,4282220.0,1872.4180148666376,10.0,1480.0,5600.0
2260.0,4377555.0,4323380.0,1913.0,10.0,1530.0,5630.0
1313.0,2895891.0,2492340.0,1898.202589489718,10.0,1520.0,5600.0
2241.0,5868801.0,4769580.0,2128.326639892905,10.0,1810.0,5620.0
2024.0,4023153.0,3812170.0,1883.4832015810277,10.0,1470.0,5630.0
2049.0,3979275.0,3952340.0,1928.9116642264519,10.0,1480.0,5630.0
753.0,1050734.0,1170670.0,1554.6746347941566,10.0,1140.0,5540.0
1852.0,3505381.0,3543130.0,1913.1371490280778,10.0,1500.0,5630.0
838.0,1182307.0,1337290.0,1595.8114558472553,10.0,1175.0,5510.0
869.0,1703713.0,1623970.0,1868.7802071346375,10.0,1500.0,5590.0
1996.0,4822607.0,4317650.0,2163.1513026052103,10.0,1890.0,5610.0
2241.0,4401603.0,4385000.0,1956.7157518964748,10.0,1520.0,5630.0
2116.0,4103940.0,4082650.0,1929.4187145557655,10.0,1560.0,5620.0
2082.0,3973810.0,3914770.0,1880.2929875120076,10.0,1500.0,5610.0
1271.0,2168108.0,2413310.0,1898.7490165224233,10.0,1460.0,5630.0
2110.0,4226001.0,4073930.0,1930.7725118483413,10.0,1490.0,5630.0
1856.0,4416401.0,3655120.0,1969.353448275862,10.0,1600.0,5620.0
1829.0,4444604.0,3844910.0,2102.1924548933844,10.0,1740.0,5620.0
1833.0,3466364.0,3625340.0,1977.8177850518275,10.0,1510.0,5630.0
1769.0,3279543.0,3374620.0,1907.6427360090447,10.0,1480.0,5630.0
443.0,720158.0,730390.0,1648.7358916478556,10.0,1220.0,5450.0
1099.0,1873827.0,2011910.0,1830.673339399454,10.0,1480.0,5630.0
1989.0,3872198.0,3878700.0,1950.0754147812972,10.0,1580.0,5630.0
2020.0,4988564.0,4237050.0,2097.5495049504952,10.0,1840.0,5630.0
1907.0,5131296.0,4185680.0,2194.9029889879394,10.0,1920.0,5620.0
570.0,913426.0,993260.0,1742.561403508772,10.0,1255.0,5620.0
176.0,275689.0,280550.0,1594.034090909091,10.0,1290.0,5250.0
1883.0,3690544.0,3690810.0,1960.0690387679235,10.0,1530.0,5620.0
1887.0,3808222.0,3621520.0,1919.1944886062533,10.0,1510.0,5620.0
1276.0,2198509.0,2346730.0,1839.130094043887,10.0,1470.0,5580.0
2271.0,5701745.0,5007630.0,2205.033025099075,10.0,1920.0,5630.0
2306.0,6229185.0,5061740.0,2195.0303555941023,10.0,1950.0,5630.0
1467.0,2642324.0,2626900.0,1790.6612133606,10.0,1340.0,5580.0
2244.0,4441843.0,4355230.0,1940.8333333333333,10.0,1540.0,5630.0
1953.0,3775958.0,3776790.0,1933.8402457757297,10.0,1550.0,5600.0
1982.0,3863627.0,3732960.0,1883.43087790111,10.0,1480.0,5610.0
1603.0,3388538.0,3254170.0,2030.0499064254523,10.0,1630.0,5600.0
2159.0,5210117.0,4565900.0,2114.821676702177,10.0,1860.0,5630.0
