출구본부명,출구지사명,출구영업소코드,출구영업소명,처리일자,처리일시분초,TCS차종구분코드,TCS차종구분명,근무일자,근무번호,확인순번,TCS본부명,지사명,영업소코드,영업소명,발급일시,발급시분초
전북본부,무주,114,남대전,20210606,132647,1,1종,20210606,3502,42,대전충남본부,대전,115,대전,20210606,131300
전북본부,무주,114,남대전,20210606,132711,1,1종,20210606,3502,44,대전충남본부,대전,152,유성,20210606,130600
전북본부,무주,114,남대전,20210606,132751,1,1종,20210606,3502,46,대전충남본부,대전,115,대전,20210606,131500
전북본부,무주,114,남대전,20210606,133007,1,1종,20210606,3502,50,대전충남본부,대전,115,대전,20210606,131747
전북본부,무주,114,남대전,20210606,140608,1,1종,20210606,3502,68,대전충남본부,대전,152,유성,20210606,134700
전북본부,무주,114,남대전,20210606,152125,6,6종,20210606,3502,82,대전충남본부,대전,112,남청주,20210606,145600
전북본부,무주,114,남대전,20210606,152452,1,1종,20210606,3502,86,대전충남본부,대전,113,신탄진,20210606,150200
전북본부,무주,114,남대전,20210606,152658,1,1종,20210606,3502,88,대전충남본부,대전,152,유성,20210606,150600
전북본부,무주,114,남대전,20210606,152805,1,1종,20210606,3502,91,대전충남본부,대전,152,유성,20210606,150800
전북본부,무주,114,남대전,20210606,152858,1,1종,20210606,3502,93,대전충남본부,대전,115,대전,20210606,151600
전북본부,무주,114,남대전,20210606,160211,1,1종,20210606,3502,104,대전충남본부,대전,152,유성,20210606,154200
전북본부,무주,114,남대전,20210606,160641,1,1종,20210606,3502,110,대전충남본부,대전,152,유성,20210606,154700
전북본부,무주,114,남대전,20210606,160749,1,1종,20210606,3502,115,대전충남본부,대전,113,신탄진,20210606,154900
전북본부,무주,114,남대전,20210606,160802,6,6종,20210606,3502,116,대전충남본부,대전,115,대전,20210606,155600
전북본부,무주,114,남대전,20210606,160812,1,1종,20210606,3502,117,대전충남본부,대전,151,북대전,20210606,154900
전북본부,무주,114,남대전,20210606,161952,1,1종,20210606,3502,127,대전충남본부,대전,115,대전,20210606,160700
전북본부,무주,114,남대전,20210606,162112,1,1종,20210606,3502,129,대전충남본부,대전,152,유성,20210606,160200
전북본부,무주,114,남대전,20210606,162442,1,1종,20210606,3502,135,대전충남본부,대전,115,대전,20210606,161000
전북본부,무주,114,남대전,20210606,162939,1,1종,20210606,3502,139,대전충남본부,대전,115,대전,20210606,160000
전북본부,무주,114,남대전,20210606,163133,1,1종,20210606,3502,146,대전충남본부,대전,112,남청주,20210606,160800
전북본부,무주,114,남대전,20210606,174403,6,6종,20210606,3502,164,대전충남본부,대전,115,대전,20210606,173200
전북본부,무주,114,남대전,20210606,175720,1,1종,20210606,3502,170,대전충남본부,대전,112,남청주,20210606,173100
전북본부,무주,114,남대전,20210606,181504,6,6종,20210606,3502,177,대전충남본부,대전,152,유성,20210606,175600
전북본부,무주,114,남대전,20210606,181952,1,1종,20210606,3502,180,대전충남본부,대전,115,대전,20210606,180600
전북본부,무주,114,남대전,20210606,182040,1,1종,20210606,3502,181,대전충남본부,대전,152,유성,20210606,180200
전북본부,무주,114,남대전,20210606,182410,1,1종,20210606,3502,186,대전충남본부,대전,152,유성,20210606,180200
전북본부,무주,114,남대전,20210606,182433,1,1종,20210606,3502,187,대전충남본부,대전,152,유성,20210606,180200
전북본부,무주,114,남대전,20210606,183053,1,1종,20210606,3502,196,대전충남본부,대전,115,대전,20210606,181300
전북본부,무주,114,남대전,20210606,183121,1,1종,20210606,3502,197,대전충남본부,대전,152,유성,20210606,173955
전북본부,무주,114,남대전,20210606,183849,1,1종,20210606,3502,205,대전충남본부,대전,152,유성,20210606,182000
전북본부,무주,114,남대전,20210606,183918,1,1종,20210606,3502,207,대전충남본부,대전,152,유성,20210606,182200
