번호,대여소명,거치대_수,구,주소,위도,경도,구역,인터넷,CCTV,거치대_종류,구조
216,건양대학교병원,15,서구,관저동 1900,36.306,127.341,3구역,\N,\N,평면,일자형
217,초록마을아파트3단지,15,서구,복수동 613,36.3005,127.379,4구역,무선,\N,평면,십일자
218,충대병원입구(건너편),15,중구,대사동 248-29,36.3182,127.417,4구역,\N,\N,평면,일자형
219,문화초등학교네거리,10,중구,유천동 168-8,36.3131,127.399,4구역,\N,\N,평면,일자형
220,머티네거리,15,중구,산성동 160-9,36.3096,127.388,4구역,\N,\N,평면,일자형
221,갈마중학교(서부장로교회),15,서구,갈마동 338-1,36.3491,127.368,2구역,\N,\N,평면,일자형
222,갈마아파트 한마음동산,15,서구,갈마동 392-6,36.3443,127.368,2구역,\N,\N,평면,일자형
223,가양비래공원네거리,13,대덕구,비래동 47-1,36.3534,127.454,6구역,\N,\N,평면,일자형
224,정림삼거리,15,서구,정림동 497,36.3073,127.364,4구역,\N,\N,평면,일자형
225,대전보건대,14,동구,가양동 88-1,36.3489,127.451,6구역,\N,2,평면,일자형
226,대정동 모다아울렛,15,유성구,대정동 303-2,36.3127,127.32,3구역,\N,\N,평면,일자형
227,죽동 대원칸타빌,13,유성구,죽동 141-3,36.3692,127.334,7구역,무선,\N,평면,일자형
228,노은3지구 트리풀시티포레(105동),13,유성구,지족동 1043,36.3809,127.306,7구역,무선,\N,평면,일자형
229,송림마을5단지(502동),14,유성구,하기동 545,36.3911,127.33,7구역,무선,\N,평면,일자형
230,노은3지구 꿈에그린(201동),14,유성구,지족동 1093,36.3881,127.303,7구역,무선,\N,평면,일자형
231,덕명동 하우스토리(101동),14,유성구,덕명동 525,36.3581,127.304,3구역,무선,\N,평면,일자형
232,온천2동주민센터,12,유성구,장대동 40-2,36.3649,127.333,7구역,무선,\N,평면,일자형
233,대덕산업단지 BRT정류장,14,대덕구,문평동 92-1,36.4381,127.395,7구역,무선,\N,평면,일자형
234,와동 현대아파트(대덕의원),14,대덕구,와동 372-7,36.4005,127.423,6구역,무선,\N,평면,일자형
235,비래동 금성백조(102동),14,대덕구,비래동 130-7,36.3581,127.451,6구역,무선,\N,평면,일자형
236,가양2동주민센터(건너편 한산아파트),12,동구,가양동 55-3,36.349,127.448,6구역,무선,\N,평면,일자형
237,변동네거리(복음천하교회),13,서구,변동 60-2,36.3244,127.379,4구역,무선,\N,평면,일자형
238,내동네거리(컨벤션웨딩홀),14,서구,변동 70-9,36.3308,127.377,4구역,무선,\N,평면,일자형
239,느리울중네거리,14,서구,관저동 1394,36.2964,127.341,3구역,무선,\N,평면,일자형
